WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication	Year	Edition	ShelfNo	RowNo	Remarks
W.ISKS1RC2382.001	ISKS1RC2382	IG.ISKS1RC2382.001	2382	AYURVEDA	Susruta samhita English Traslations Vol-I		Kaviraj Kunja Lala Bhishagratna	1907					English	Roman		Paper	4.91X8.27			C		Toronto			Good	673				Kaviraj Kunja Lala Bhishagratna	1907	First			
W.ISKS1RC2383.001	ISKS1RC2383	IG.ISKS1RC2383.001	2383	AYURVEDA	Susruta samhita								Sanskrit	Telugu		Paper	7.63X11.58			C					Good	155						First			
W.ISKS1RC2384.001	ISKS1RC2384	IG.ISKS1RC2384.001	2384	AYURVEDA	Syanikasatra		Haraprasad Shastri	1910					Sanskrit	Devanagari		Paper	4.65x47.62			C					Good	82					1910	First			
W.ISKS1RC2385.001	ISKS1RC2385	IG.ISKS1RC2385.001	2385	AYURVEDA	Vagbhatacvivecana		Achary Priyavarata Sharma	1939					Sanskrit	Devanagari/Roman		Paper	4.73X7.86			C					Good	480				"The Chowkhamba Vidyabhawan, Varanasi-1"	1939	First			
W.ISKS1RC2386.001	ISKS1RC2386	IG.ISKS1RC2386.001	2386	AYURVEDA	Vaidyaka sabdasindhu								English/Sanskrit	Devanagari/Roman		Paper	10.22X15.77			C	Library New York Botanical Garden				Good	124						First			
W.ISKS1RC2387.001	ISKS1RC2387	IG.ISKS1RC2387.001	2387	AYURVEDA	Vanaspatisastra (Botanycomplete)		Thaker Jayakrishna Indraji	1910					English/Sanskrit	Devanagari/Roman		Paper	7X10.37			C		New York			Good	859					1910	First			
W.ISKS1RC2388.001	ISKS1RC2388	IG.ISKS1RC2388.001	2388	AYURVEDA	Vanaspatisastra A								Sanskrit	Devanagari		Paper	6.33X9.62			C	Library New York Botanical Garden				Good	214						First			
W.ISKS1RC2389.001	ISKS1RC2389	IG.ISKS1RC2389.001	2389	AYURVEDA	Vanaspatisastra a1		Thaker Jayakrishna Indraji	1910					English/Sanskrit	Devanagari/Roman		Paper	6.33X9.62			C		New York			Good	215					1910	First			
W.ISKS1RC2390.001	ISKS1RC2390	IG.ISKS1RC2390.001	2390	AYURVEDA	Vanaspatisastra a2								Sanskrit	Devanagari		Paper	6.33X9.62			C					Good	215						First			
W.ISKS1RC2391.001	ISKS1RC2391	IG.ISKS1RC2391.001	2391	AYURVEDA	Vanaspatisastra a3								Sanskrit	Devanagari		Paper	6.33X9.62			C					Good	231						First			
W.ISKS1RC2392.001	ISKS1RC2392	IG.ISKS1RC2392.001	2392	AYURVEDA	Vanaspatisastra a4								Sanskrit	Devanagari		Paper	6.33X9.62			C					Good	207						First			
W.ISKS1RC2393.001	ISKS1RC2393	IG.ISKS1RC2393.001	2393	AYURVEDA	Vanaspatisastra B								Sanskrit	Devanagari		Paper	6.33X9.62			C					Good	214						First			
W.ISKS1RC2394.001	ISKS1RC2394	IG.ISKS1RC2394.001	2394	AYURVEDA	Vanaspatisastra C								Sanskrit	Devanagari		Paper	6.33X9.62			C					Good	230						First			
W.ISKS1RC2395.001	ISKS1RC2395	IG.ISKS1RC2395.001	2395	AYURVEDA	Vanaspatisastra d								Sanskrit	Devanagari		Paper	6.33X9.62			C					Good	207						First			
W.ISKS1RC2396.001	ISKS1RC2396	IG.ISKS1RC2396.001	2396	AYURVEDA	Vanaspatisastra r								Sanskrit	Devanagari		Paper	6.33X9.62			C					Good	202						First			
W.ISKS1RC2397.001	ISKS1RC2397	IG.ISKS1RC2397.001	2397	AYURVEDA	Viswamitramahari								Sanskrit	Teluu		Paper	4.72X7.37			C					Good	127						First			
W.ISKS1RC2398.001	ISKS1RC2398	IG.ISKS1RC2398.001	2398	AYURVEDA	Vrksayurveda		Surapala			Nalikni Sadhale		"K.L.Mehra, S.M.Virmani,and Y. L. Nene"	Sanskrit	Devanagari		Paper Mss	10.90X8.68	7		C					Good	57						First			
